行业,批次,不限专业,公司名称,学历,岗位更新日期,官方公告,岗位,网申入口,含免笔试,截止时间,企业类型,招聘对象,备注,工作城市
快消,春招,1,北京稻香村,"本科,硕士,博士",2026/05/13,https://mp.weixin.qq.com/s/URen-i6FWV8nu2l3AKk35g,人力方向，储备店长，法务方向，研发方向，财务方向，产品管理方向，品质管理方向,https://bjdaoxiangcun1.zhiye.com/,0,招满即止,民企,2026,"有五险一金, 节日福利, 传统老字号稳定性高, 6k~10k*13",北京
银行,春招,1,威海银行,"本科,硕士,博士",2026/05/13,https://mp.weixin.qq.com/s/jCNM0vNGtvYDGEXokeAsNQ,客户经理及微贷客户经理,https://campus.51job.com/whyh/2026xyzp/,0,2026-05-27,央国企,"2025, 2026","有六险二金,补充医疗保险,企业年金,各种补贴,10k-15k*14","天津, 山东"
事业单位,春招,0,咸宁市委组织部,"硕士,博士",2026/05/13,http://www.xnzg.gov.cn/zgdt/tzgg/202605/t20260506_4574206.shtml,市直企事业单位引进岗位,http://www.xnzg.gov.cn/,0,2026-05-18,事业单位,"2026, 往届","事业编制,安家补助最高8万,生活补贴最高10.8万,购房补贴最高10万,公积金贷款1.5倍",咸宁
"其它,农业",春招,0,南平绿发集团,"本科,硕士,博士",2026/05/13,https://mp.weixin.qq.com/s/1GyTkJiQMRZngk3AgQbzow,子公司员工,https://mp.weixin.qq.com/s/1GyTkJiQMRZngk3AgQbzow,0,2026-05-18,央国企,2026,"有五险一金, 地方国企福利, 报名时间仅6天, 8k~12k*13",南平
互联网,暑期实习,0,华为-销售类,"本科,硕士,博士",2026/05/13,https://mp.weixin.qq.com/s/yaFhmu5fnI2zBwhuCHDW1Q,"客户经理（实习生）,华为云BD（实习生）",https://career.huawei.com/cn,0,招满即止,民企,2027届毕业生,"华为2027届销售专项, 暑期7-8月全职实习, 覆盖全国各省会, 计算机/人工智能等工科专业优先。",全国
金融,暑期实习,1,众安保险,"本科,硕士,博士",2026/05/13,https://mp.weixin.qq.com/s/4-10Yoccz1nu9h0-n962zQ,HR AI实习生,https://app.mokahr.com/campus-recruitment/zhongan/71908#/job/79cdacb3-4f16-4d59-a4f4-4a39bdac31e7?from=qrcode,1,2026-06-30,民企,2027届,"参照大厂实习薪资, 需实习3个月, 表现优异直通校招Offer, 深度参与AI+HR核心项目。",上海
"建筑,交通运输",春招,0,济南黄河路桥建设集团,"本科,硕士,博士",2026/05/13,https://jngzw.jinan.gov.cn/col/col23870/art/2026/art_d31f8c193c8c4a05acd33762a287fd30.html,出纳，文秘，技术员，质检员，造价员，工程技术,https://jngzw.jinan.gov.cn/col/col23870/art/2026/art_d31f8c193c8c4a05acd33762a287fd30.html,1,2026-05-20,央国企,2026,"大型国有建筑企业, 五险一金, 各种补贴, 综合年薪8万-12万",济南
"金融,互联网",春招,0,结行科技,"硕士,博士",2026/05/13,https://mp.weixin.qq.com/s/4P0XF4pk_dOk5vHJoqi7jQ,法务管培生,https://mp.weixin.qq.com/s/4P0XF4pk_dOk5vHJoqi7jQ,0,招满即止,民企,2026,"有六险一金, 英文办公环境, 核心管培生项目, 15k~25k*14",北京
"建筑,新能源",春招,0,中电工程新疆院,"本科,硕士,博士",2026/05/13,https://mp.weixin.qq.com/s/XfrzxvQw6Q5pQux36UYQ3g,法务，信息工程师，土建设计师，电气设计师，能动设计师,https://mp.weixin.qq.com/s/XfrzxvQw6Q5pQux36UYQ3g,1,招满即止,央国企,2026,"有六险二金, 各种补贴, 12k~18k*14",乌鲁木齐
"制造业,新能源",春招,0,山东爱普电气,"本科,硕士,博士",2026/05/13,https://jngzw.jinan.gov.cn/col/col23870/art/2026/art_8d13be62e46546a98d87798e94f14751.html,PLC调试员，变电技术岗，技术研发岗,https://jngzw.jinan.gov.cn/col/col23870/art/2026/art_8d13be62e46546a98d87798e94f14751.html,0,2026-05-20,央国企,2026,"有五险一金,享受济南人才补贴政策,提供专业带教,8k~12k*13",济南
"其它,事业单位",春招,0,金山区国企,"本科,硕士,博士",2026/05/13,https://www.gzw.sh.gov.cn/shgzw_xxgk_cqzp/20260511/99e574897e2a4869869ddaaf050ca17c.html,工作人员,https://www.ecloudexam.com/,0,2026-05-15,央国企,"2025, 2026","解决上海户口, 六险二金, 稳定编制, 12k~18k*14",上海
"医疗,事业单位,医药生物",春招,0,国家中医药管理局,"本科,硕士,博士",2026/05/13,https://www.mohrss.gov.cn/SYrlzyhshbzb/fwyd/SYkaoshizhaopin/zyhgjjgsydwgkzp/gxbyszpzl/202605/t20260509_575761.html,中华中医药学会岗位，国家中医药博物馆岗位，中国中医药科技发展中心岗位，国家中医药管理局机关服务中心岗位，国家中医药管理局监测统计中心岗位，国家中医药管理局中医师资格认证中心岗位,https://www.mohrss.gov.cn/SYrlzyhshbzb/fwyd/SYkaoshizhaopin/zyhgjjgsydwgkzp/gxbyszpzl/202605/t20260509_575761.html,0,2026-05-19,事业单位,2026,"解决北京户口,有事业编制,六险二金,各种补贴,薪资参考事业单位标准",北京
事业单位,春招,0,达州市经信局,"大专,本科,硕士,博士",2026/05/13,https://mp.weixin.qq.com/s/k0M4bG6mwq3nqcqJ-BM82w,园区产业发展服务专员,https://zk.xnrczpw.com/nindex/?ecode=dzs2026,0,2026-05-18,政府机关,2026,"有五险一金, 劳动合同制, 年薪4.8万及以上",达州
游戏,春招,0,FunPlus,"本科,硕士,博士",2026/05/13,https://mp.weixin.qq.com/s?__biz=MzI5MTY1NjMxNw%3D%3D&idx=1&mid=2247503734&sn=15a7a4cbfd845faba8cb769941e61c67,AIGC海外广告创意，AI视频编导，AI视频设计师，IP运营，UI界面设计师，产品运营，关卡策划，战斗策划，技术美术，数值策划，系统策划，商业化策划，本地化运营，投资部实习生，海外内容生态，游戏内容生态，平面设计实习生，海外投放优化师，视频制作实习生，小游戏程序实习生，海外素材创意策划,https://app.mokahr.com/campus-recruitment/funplus01/147931?sourceToken=906e26ae650ae010a226c3796b3214ad#/,0,招满即止,民企,2026,"有六险一金,各种福利,20k-40k*15","北京, 成都, 杭州, 远程"
教育,日常实习,0,外研社-西班牙语新媒体运营,"本科,硕士,博士",2026/05/13,https://mp.weixin.qq.com/s/0rNmSBB2rhkipNsTPdXvnw,新媒体运营实习生,https://mp.weixin.qq.com/s/0rNmSBB2rhkipNsTPdXvnw,0,2026-05-15,央国企,大三及以上,"有基本实习工资, 需实习3个月起, 线上办公且西语需达B2或专四良好水平。",远程
交通运输,春招,1,东航物流,"本科,硕士,博士",2026/05/13,http://www.sasac.gov.cn/n2588035/n2588325/n2588350/c35425735/content.html,储备人才（单证处理）,https://job.ceair.com/,0,2026-06-30,央国企,2026,"有五险一金,企业年金,补充医疗保险,东航特色优惠机票,8k~13k*13",上海
制造业,春招,0,济南重工,"本科,硕士,博士",2026/05/13,https://jngzw.jinan.gov.cn/col/col23870/art/2026/art_5385d80678174cb19459fd53c2334e8c.html,工艺员，电焊工，行车工，销售员，研发设计，纪检干事，数控操作工，液压技术员，电气技术员，车辆检修工，销售技术服务，焊接工艺工程师，电气调试维修工，焊接机器人操作工,https://jngzw.jinan.gov.cn/col/col23870/art/2026/art_5385d80678174cb19459fd53c2334e8c.html,0,2026-05-20,央国企,2026,"有五险一金, 济南人才补贴, 6k~10k*13",济南
其它,春招,0,陕西烟草,"本科,硕士,博士",2026/05/13,https://mp.weixin.qq.com/s/ld5wIAiODomQPJ-r9wRaAw,业务类岗位，管理类岗位,https://mp.weixin.qq.com/s/ld5wIAiODomQPJ-r9wRaAw,0,2026-05-20,央国企,"2025, 2026",属于烟草系统正式编制，提供六险二金及丰厚补贴，年薪总包参考15w-25w。,陕西
其它,春招,0,重庆新华书店,"本科,硕士,博士",2026/05/13,https://gzw.cq.gov.cn/gqzp/202605/t20260509_15664321.html,法务岗，计算机岗，播音主持岗，视频摄制岗，设计文创岗，财务资产岗，图书传媒文秘岗,https://www.cqrc.net/gzw/index/,0,2026-05-18,央国企,2026,"有六险二金,国企规范福利,10万~15万",重庆
"教育,事业单位",春招,0,宿迁市教育局,"本科,硕士,博士",2026/05/13,https://zjzx.91job.org.cn/index.php?a=show&c=article&id=10588&m=home&site=1,教师,http://218.93.212.38:12123/jiaoyu_,0,2026-05-15,事业单位,"2024, 2025, 2026","解决事业编制, 134个HC, 2024及2025届未就业毕业生可投, 薪资按事业单位标准执行",宿迁
电商,春招,0,凡岛,"本科,硕士,博士",2026/05/14,http://mp.weixin.qq.com/s?__biz=MzU2MjA3NjMxMA%3D%3D&idx=1&mid=2247496678&sn=07e2ce5ff6409a0e21e551c8d09ade4f,品牌带货主播,https://job.fandow.com/home,0,招满即止,民企,2026,"无责底薪8000元,另设业绩奖金最高3W,每日四餐+咖啡下午茶,8k-38k",广州
"快消,零售",春招,1,奥乐齐,"大专,本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/jDhd3UvfhzFqMXDHaAURuA,零售管培生,https://mp.weixin.qq.com/s/jDhd3UvfhzFqMXDHaAURuA,0,招满即止,外企,"2023, 2024, 2025, 2026","往届生可投,五险一金,补充医疗保险,10k-12k*14",全国
事业单位,春招,0,文化和旅游部,"本科,硕士,博士",2026/05/14,https://www.mohrss.gov.cn/SYrlzyhshbzb/fwyd/SYkaoshizhaopin/zyhgjjgsydwgkzp/gxbyszpzl/202605/t20260512_576018.html,国家博物馆岗位，国家图书馆岗位，故宫博物院岗位，中国艺术研究院岗位,https://www.mct.gov.cn/,0,2026-05-21,事业单位,"2024, 2025, 2026","解决北京户口,事业编制,六险二金,各种补贴,10k~15k*13",北京
"其它,农业",春招,0,鲁商集团,"本科,硕士,博士",2026/05/14,http://gzw.shandong.gov.cn/articles/ch00223/202605/76ae2262-1c9f-49bf-b8d0-f4ad6bc6ad63.html,应届生岗(共10个岗位),https://lushang.hotjob.cn/,0,2026-05-24,央国企,"2024, 2025, 2026","提供具有市场竞争力的薪酬福利, 包含五险一金及各类补贴, 薪资约6k-10k",德宏
制造业,春招补录,0,康冠科技,"本科,硕士,博士",2026/05/14,http://mp.weixin.qq.com/s?__biz=MjM5OTc3MDMzNA%3D%3D&idx=2&mid=2671849083&sn=0db0e4d3e7a3fa043f89fd8d489c78b4,校招补录岗位,https://mp.weixin.qq.com/s?__biz=MjM5OTc3MDMzNA%3D%3D&idx=2&mid=2671849083&sn=0db0e4d3e7a3fa043f89fd8d489c78b4&poc_token=HOF-BmqjGucsy-KAKUaWzGbHTSMIdDZFgh2aG8HX,0,招满即止,民企,2026,"有五险一金,提供食宿补贴,研发岗12k-20k*14","惠州, 深圳"
制造业,春招,0,景旺电子,"本科,硕士",2026/05/14,https://mp.weixin.qq.com/s/wyQaCmIhNxjM290erNIjdA,PMC（物控），PMC（计划），品质岗，审计岗，工程岗，工艺岗，物流岗，环保岗，研发岗，行政岗，设备岗，采购岗，销售岗，项目岗，自动化岗，精益岗（IE），信息岗（IT），生产管理岗，订单交付岗，总裁办管培生,https://app.mokahr.com/campus-recruitment/jingwang/143512?locale=zh-CN#/,0,招满即止,民企,"2024, 2025, 2026",提供五险一金、公司宿舍及伙食补贴，专业不限且面试官在线发Offer，本科起薪约8k-12k，硕士12k-18k。,"江西, 河源, 深圳, 珠海"
"建筑,新能源",春招,0,山东省能源建筑设计院,"本科,硕士,博士",2026/05/14,http://gzw.shandong.gov.cn/articles/ch00223/202605/67d56310-203c-4290-bfc1-2dc19a562034.html,水暖专业设计人员，电仪专业设计人员,http://gzw.shandong.gov.cn/articles/ch00223/202605/67d56310-203c-4290-bfc1-2dc19a562034.html,0,2026-05-21,央国企,2026,"有五险一金,提供各类补贴,济南人才引进政策,8k~12k*14",济南
"建筑,房地产",春招,0,宁波富达,"硕士,博士",2026/05/14,https://gzw.ningbo.gov.cn/col/col1229116730/art/2026/art_caf29b3aa07440aab3437b40bd537e72.html,法务，产业研究员,https://gzw.ningbo.gov.cn/col/col1229116730/art/2026/art_caf29b3aa07440aab3437b40bd537e72.html,0,2026-05-24,央国企,"2025, 2026","宁波国企上市公司, 硕士起投, 优先名校生, 提供五险一金及各类补贴, 12k~16k*14",宁波
制造业,春招,0,傲雷 (Olight),"本科,硕士,博士",2026/05/14,http://mp.weixin.qq.com/s/KphvZZ6D9hnWJBnW1TSPfg,BI工程师，ID工程师，产品经理，人事专员，内容运营，外贸销售，市场营销，渠道拓展，站外营销，管理会计，亚马逊运营，平面设计师，测试工程师，电子工程师，结构工程师，认证工程师，质量工程师，软件工程师，运维工程师,https://olight.zhiye.com/#/jobs?jc=1,0,招满即止,民企,2027,"有五险一金,免费住宿,餐补,公费旅游,8k~18k*14","东莞, 中山, 重庆"
"物流,贸易,金融,制造业",春招,0,苏豪控股,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/RhiUb7VBDF1yEiumNMKJ3g,期货/期权研究员，外贸业务员，驻外法语翻译，互联网业务总监，纪检办公室文员，资产配置研究员，半钢工厂技术科长，基金发展部投资岗，市场发展部业务主管，资产管理中心负责人,https://qr61.cn/onY3WR/qE1a6fM?lid=4etf0erpfbutf232s&rlid=4etf0erpfbutf232s,0,2026-05-27,央国企,2026,"江苏省属大型国企, 包含金融/贸易/技术多类岗位, 提供五险一金及各类补贴, 10k-18k*14","南京, 海外"
银行,春招,0,湘乡农商银行,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/-yCea02foXLrwZS-MnH5MA,员工,https://mp.weixin.qq.com/s/-yCea02foXLrwZS-MnH5MA,0,招满即止,民企,2026,"有五险一金,各类补贴,年终奖,总包10-15万",湘乡
教育,春招补录,1,新东方-合肥学校,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/AXvELU3qR_d9ioiTIJThVQ,高中英语教师，学习机化学素养教师，学习机物理素养教师，学习机小初英语素养教师，学习机小学语文素养教师,https://zhaopin.xdf.cn/jobs?activityGuid=30285381-27ba-4dad-b48e-b72ab4db1144,1,招满即止,民企,2026,"有五险一金,前六个月保底6k,不限专业教资,10w~30w",合肥
咨询,春招补录,0,中咨公司,"硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/ft2VMMiXuE1z2XAk-IPxHA,咨询业发展研究人员，水资源节约与保护项目咨询人员,https://hcmcloud.ciecc.com.cn/recruit/#/index,0,招满即止,央国企,2026,"国家高端智库, 硕士30岁/博士35岁以内, 需统招统分, 15k-25k*14",北京
航天航空,春招,0,旋翼飞行器制造业创新中心,"本科,硕士,博士",2026/05/14,http://mp.weixin.qq.com/s?__biz=MjM5MDIxNjczNA%3D%3D&idx=1&mid=2652900662&scene=0&sn=831b8c84ac6c991513e46e4a0f88dd61,管理类岗位，工程技术类岗位，旋翼飞行器研发类岗位,https://mp.weixin.qq.com/s?__biz=MjM5MDIxNjczNA%3D%3D&idx=1&mid=2652900662&scene=0&sn=831b8c84ac6c991513e46e4a0f88dd61&poc_token=HCd_BmqjyJZwVklwx5Y32TY8P1c67sJGu9wssKiU,0,招满即止,央国企,2026,"解决北京户口,六险二金,科研补贴,15k~30k*14",北京
"制造业,新能源",春招,0,汉缆股份,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/ku_5567zMLM_HkSUG6xYcg,工艺工程师，国际业务经理，销售业务经理，电缆研发工程师，动态缆研发工程师，电缆材料研发工程师，高端电缆研发工程师,https://mp.weixin.qq.com/s/ku_5567zMLM_HkSUG6xYcg,1,招满即止,民企,"2026, 2027","提供员工宿舍与餐厅, 设有年度奖金与定期调薪, 10k~25k",青岛
快消,春招,0,青岛啤酒,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/FwlfNba4aarcx5lXcXtrPA,销售，人力/管理，党建/文化，信息数据，即时零售，国际贸易，工艺技术，电子商务，能源动力，财务会计，销售管理，机电自动化，营养健康研究，农产品深加工及产品开发，功能营养产品开发与应用,https://tsingtao2.zhiye.com/Campus/jobs,0,招满即止,央国企,"2025, 2026","六险二金, 各种补贴, 综合年薪10-15万",全国
"制造业,新能源",春招,1,越兴铜业,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/DllFSXcFe8H03iUils_Gqg,储备管理类，智能制造类，职能管理类，营销管理类,https://mp.weixin.qq.com/s/DllFSXcFe8H03iUils_Gqg,1,招满即止,民企,2026,"提供免费食宿, 五险, 三节福利, 杜绝无效加班, 5k~8k",上饶
其它,春招,0,恭王府博物馆,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/ULR71Lzgj89iGZrfNW8TWw,馆办公室/数字技术，人力资源处/人力资源，财务资产处/资产管理,https://mp.weixin.qq.com/s/ULR71Lzgj89iGZrfNW8TWw,0,招满即止,事业单位,"2024, 2025, 2026","解决北京户口, 事业单位编制, 硕士/本科可投, 10k-15k总包",北京
医疗,春招,0,卫宁健康,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/ulfbeXte8r2KHogOpBTN7g,业务顾问，产品经理，售前顾问，客户经理，项目经理，实施工程师，数据工程师，研发工程师，算法工程师，销售管培生,https://mp.weixin.qq.com/s/ulfbeXte8r2KHogOpBTN7g,0,招满即止,民企,2027,"医疗IT龙头企业, 五险一金, 各种补贴, 10k~20k*14","上海, 全国"
"其它,交通运输",春招,0,福建物资商业集团,"本科,硕士,博士",2026/05/14,https://jy.xmu.edu.cn/campus/view/id/1001185,权属企业外贸业务岗，权属企业综合管理岗,https://jy.xmu.edu.cn/campus/view/id/1001185,0,2026-05-22,央国企,2026,福建省属国企背景，提供五险一金及完善福利，月薪最高11k，工作地点位于福州。,福州市
事业单位,春招,0,文化和旅游部,"本科,硕士,博士",2026/05/14,https://www.mohrss.gov.cn/SYrlzyhshbzb/fwyd/SYkaoshizhaopin/zyhgjjgsydwgkzp/gxbyszpzl/202605/t20260512_576016.html,中国国家画院岗位，中外文化交流中心岗位，文化和旅游部机关服务中心岗位，中央文化和旅游管理干部学院岗位，中国工艺美术馆（中国非物质文化遗产馆）岗位,https://www.mohrss.gov.cn/SYrlzyhshbzb/fwyd/SYkaoshizhaopin/zyhgjjgsydwgkzp/gxbyszpzl/202605/t20260512_576016.html,0,2026-05-21,事业单位,2026,"解决北京户口, 事业编制, 包含5家直属单位, 5月21日截止投递, 薪资约10k-15k",北京
车企,春招补录,0,吉利控股集团,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/Au7J_qPqwzG1PJzLjRpy1Q,IT/互联网类，采购/供应链/质量类，职能类，设计类，整车研发类，智能制造类,https://campus.geely.com/campus-recruitment/geely/78436/#/,0,2026-06-18,民企,2026,"六险一金, 购车优惠, 餐饮补贴, 节日福利, 10k-25k*13-15",全国
金融,春招,0,泉果基金,"本科,硕士,博士",2026/05/14,http://mp.weixin.qq.com/s?__biz=Mzg5NTc0MzEwMQ%3D%3D&idx=1&mid=2247518265&scene=0&sn=e528afcebaca02c0e94f759fa2a0f809,投资中国训练营学员,https://qgfund.zhiye.com/campus,0,招满即止,民企,2026,公募大佬创立的顶尖平台，表现优异可获2026届正式校招Offer，参考薪资25k-40k/月。,上海
游戏,暑期实习,0,途游游戏,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/XF-pg7WwkhqmuQHbdrr5bg,"美术类实习生,发行类实习生",https://app.mokahr.com/campus-recruitment/tuyoogame/71965?sourceToken=a1bb8e017e10ce9fb742f1220096bc69#/,0,招满即止,民企,2027届,"现场面试直通暑期实习Offer, 针对2027届学生, 覆盖美术与发行核心岗位, 现场抽Switch2及周边。","北京, 长春"
互联网,日常实习,1,腾讯《金铲铲之战》,"本科,硕士,博士",2026/05/14,http://mp.weixin.qq.com/s/W_awdJIZ7EnUHCea3AiYSA,"系统策划,战斗策划,商业化策划",https://join.qq.com/,0,招满即止,民企,不限年级,"薪资未提及, 腾讯IEG光子工作室群核心组, 招募战斗/系统/商业化策划, 不限年级专业。",深圳
"建筑,制造业",暑期实习,0,玫瑰岛,"大专,本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/QH1MFcxlkBmxX8mUiq6VMA,"研发类实习生,制造类实习生,设计类实习生,销售类实习生,供应链实习生,职能类实习生,新零售实习生,信息类实习生",https://mp.weixin.qq.com/s/QH1MFcxlkBmxX8mUiq6VMA,0,招满即止,民企,2026届-2027届,"实习3K/月+餐补, 提供免费住宿, 表现优异可提前锁定转正席位(8K-15K).","中山, 广东"
"医疗,医药生物",暑期实习,0,阿斯利康,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/rnJXZOGXnUYJtQxF2VYCHg,医学代表实习生,https://app.mokahr.com/campus-recruitment/astrazeneca/148833?locale=zh-CN#/,0,招满即止,外企,2027届优先,"转正路径清晰, 需实习3个月以上(每周3天), 2027届优先, 7月入职.",全国
航天航空,暑期实习,0,北京航天万源科技,"硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/8yvUn60In4Yf2BVhizSikA,"信息安全设计,软件设计,电源电路设计,系统集成设计,微波设计,电路设计,嵌入式软件设计,工艺设计,智能防务",https://mp.weixin.qq.com/s/8yvUn60In4Yf2BVhizSikA,1,招满即止,央国企,2027届,"包住宿+餐补, 考核通过直签三方锁定校招OFFER并优先获落户指标, 航天一院核心子公司研发岗.",北京
金融,日常实习,0,东吴证券研究所,"硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/Zs9KCCXqPzcouCzm-t6fgQ,量化投资组留用实习生,https://mp.weixin.qq.com/s/Zs9KCCXqPzcouCzm-t6fgQ,0,招满即止,央国企,2027届研究生、博士生,"薪资未提及, 需连续实习3个月以上且每周5天, 2027届留用机会, 7月10日前到岗。",上海
其它,日常实习,0,《年轻人》编辑部,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/TTIZObZx3INzcjwJMw6mOQ,"新媒体编辑实习生,编辑记者实习生",https://mp.weixin.qq.com/s/TTIZObZx3INzcjwJMw6mOQ,0,招满即止,央国企,,"薪资未提及, 需实习2个月且每周坐班2天, 湖南教育报刊集团核心编辑组, 表现优异者公开招聘优先考虑.",长沙
金融,暑期实习,1,泉果基金,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/3MiP1Ha0z9i2DQrWuRQF6A,投资中国训练营学员（投研方向）,https://qgfund.zhiye.com/campus/jobs,0,2026-06-30,民企,2027届,"27届校招留用机会, 7月6日起需线下实习4周, 投研核心岗位不限专业。",上海
其它,日常实习,0,BARTV ,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/rO-_5VquFS4qBe0Y4CPnkw,视频摄像编辑,https://mp.weixin.qq.com/s/rO-_5VquFS4qBe0Y4CPnkw,0,招满即止,民企,,"薪资未提及, 远程办公, 支持CPT/OPT, 负责波士顿中文电台视频统筹与剪辑。",Remote
制造业,暑期实习,0,安克创新,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/2VEORrAx8iXhx47QMi9xYw,"研发技术类,设计类,市场营销类,职能类,制造类,数据开发类,产品与体验类,采购与供应链类,品质类",https://career.anker.com.cn/universities/recruitment/new/?channel=internship,1,招满即止,民企,2027届,"面向2027届, 可直通校招转正并获专属留用奖金, 深度参与全球化AI实战项目。","上海, 北京, 成都, 杭州, 深圳, 苏州, 长沙"
金融,暑期实习,0,多维资本,"本科,硕士",2026/05/14,https://mp.weixin.qq.com/s/MLBbS4p1Lyp3-MLz_y0j4A,Super Intern (产业投行实习生),https://mp.weixin.qq.com/s/MLBbS4p1Lyp3-MLz_y0j4A,0,2026-05-31,民企,国内外重点高校本科或研究生在读,"薪资未提及, 需实习至少2个月(每周3天+), 表现优异可获转正Offer, 深度参与AI/智能制造等前沿赛道交易。","上海, 北京, 深圳"
游戏,日常实习,0,游卡,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/fSqWJvxQKQKjT9hYpv5NnQ,"产品策划类,美术表现类,发行运营类,程序技术类,职能综合类",https://app.mokahr.com/campus-recruitment/yokagames/41940?sourceToken=8cb339c3c8f29c422a63a4dc0e645771#/,0,招满即止,民企,2027届,"校招OFFER优先锁定, 需实习3个月以上, 提供免费三餐及午餐补贴。","上海, 广州, 成都, 杭州"
"其它,制造业,新能源",暑期实习,0,宁波工投集团,"本科,硕士",2026/05/14,https://mp.weixin.qq.com/s/OGKpVXhsw4_JPhTuZ6LzIQ,实习生,https://mp.weixin.qq.com/s/OGKpVXhsw4_JPhTuZ6LzIQ,1,2026-05-25,央国企,,"宁波国企, 5月25日截止, 投递需附身份证及录取证明, 邮箱wangqidi@nbiig.com",宁波
"其它,互联网",日常实习,0,光轮智能,"本科,硕士,博士",2026/05/14,https://mp.weixin.qq.com/s/hsYiRmgg2dhw6e5Q2sLdxQ,"具身智能算法研究实习生,具身智能算法实习生,具身智能仿真引擎开发实习生,具身智能 Egocentric Data 开发实习生,具身智能后端开发实习生,具身智能嵌入式开发实习生,具身智能产品实习生,具身智能 AI 数据项目运营实习生,海外商务运营实习生",https://mp.weixin.qq.com/s/hsYiRmgg2dhw6e5Q2sLdxQ,0,招满即止,民企,,"提供非常有竞争力的薪酬, 1V1导师带教, 聚焦全球领先的物理AI与具身智能核心赛道。",上海
教育,春招,1,英孚教育,"本科,硕士,博士",2026/05/15,https://mp.weixin.qq.com/s/BveMV-ye63-TbbSN1smD0g,英语老师，学习管理师，学习规划师,https://wddxczlx.jsjform.com/f/DoEqA3,0,2026-05-21,外企,"2025, 2026","支持留学生落户,10天起带薪年假,六险一金,员工子女入学优惠,10k-15k*13","上海, 全国"
"军工,半导体",春招,0,中电科规划院,"硕士,博士",2026/05/15,https://mp.weixin.qq.com/s/NxTEdjwPvqS8wNfnASqIaA,企业诊断岗，情报研究岗，战略研究岗，新闻宣传岗，管理研究岗,https://mp.weixin.qq.com/s/NxTEdjwPvqS8wNfnASqIaA,0,招满即止,央国企,2026,"解决北京户口,发放安家费,六险二金,各种补贴,20k-35k*14",北京
半导体,春招,0,中微公司,"本科,硕士,博士",2026/05/15,https://mp.weixin.qq.com/s/hjjGWxgz6tNH8OPZMq9iiA,安全工程师，项目工程师，软件工程师(GUI)，电气工程师(供配电)，电气工程师(电力电子)，生产计划工程师，机械设计工程师-薄膜沉积，高级系统集成工程师，高级工艺研发工程师-ICP刻蚀，高级产品管理工程师-薄膜沉积，高级工艺研发工程师-薄膜沉积,https://app.mokahr.com/campus_apply/amec/4362#/,0,招满即止,民企,"2025, 2026","半导体设备领军企业, 六险一金及丰厚补贴, 研发岗月薪20k-35k, 博士总包可达50w+","上海, 广州, 成都"
金融,日常实习,0,云道资本,"本科,硕士",2026/05/15,https://mp.weixin.qq.com/s/ISOhTrmINrwKqKSeRz_e-w,"日常实习生,云程计划-应届留用实习生",https://mp.weixin.qq.com/s/ISOhTrmINrwKqKSeRz_e-w,1,招满即止,民企,2026.6月及以后毕业（留用项目）/ 高年级在校生（日常）,"顶级FA机构核心组, 留用项目需实习6个月及每周4天, 日常实习满4个月开证明, 需有一级市场经验。","上海, 北京"
"投资,交通",暑期实习,0,河北建投交通,硕士,2026/05/15,https://mp.weixin.qq.com/s/8zBOqd3fn7FiBbPt8yktfw,"交通运输类实习生,多域管理类实习生",https://hbjtjiaotong2026.zhaopin.com/school/index.html,1,招满即止,央国企,2027届,"薪资未提及, 仅限2027届硕士, 河北省属大型国企交通投资核心部门.",石家庄
金融,暑期实习,0,中国外贸信托,"硕士,博士",2026/05/15,https://mp.weixin.qq.com/s/mIRl7yK7kd_fslkKXZjt2A,"金融科技岗,证券信托业务岗,家族财富业务岗,财富管理投资配置岗,固定收益投资岗,特殊资产服务信托投资岗,股权投资助理岗,博士后研究岗",https://sinochem.hotjob.cn/SU610b91ee0dcad4106ff11c21/pb/interns.html?projectCode=104001&showProjectBanner=true,1,2026-05-30,央国企,2027/2028届毕业生,"获2027届校招面试直通卡, 需实习2个月(7-8月), 仅限硕博, 涵盖证券/财富/固收等核心组。",北京
